Id,Label
1,-1
2,0
3,0
4,-1
5,-1
6,0
7,0
8,-1
9,-1
10,0
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,-1
20,0
21,0
22,0
23,0
24,-1
25,0
26,0
27,0
28,-1
29,-1
30,-1
31,1
32,1
33,0
34,-1
35,-1
36,0
37,-1
38,-1
39,0
40,0
41,1
42,1
43,1
44,-1
45,0
46,0
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,0
54,0
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,0
63,0
64,-1
65,-1
66,0
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,-1
79,-1
80,-1
81,-1
82,0
83,0
84,0
85,1
86,1
87,-1
88,1
89,-1
90,0
91,0
92,-1
93,-1
94,-1
95,-1
96,0
97,-1
98,-1
99,-1
100,1
101,1
102,0
103,1
104,-1
105,0
106,0
107,1
108,0
109,0
110,0
111,-1
112,0
113,0
114,0
115,-1
116,-1
117,-1
118,-1
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,-1
138,-1
139,-1
140,1
141,1
142,1
143,-1
144,-1
145,-1
146,0
147,-1
148,0
149,0
150,0
151,0
152,-1
153,-1
154,0
155,0
156,0
157,-1
158,-1
159,0
160,0
161,-1
162,-1
163,0
164,-1
165,-1
166,0
167,-1
168,-1
169,0
170,0
171,-1
172,-1
173,0
174,0
175,-1
176,-1
177,0
178,0
179,-1
180,-1
181,0
182,0
183,0
184,1
185,-1
186,1
187,-1
188,0
189,0
190,1
191,1
192,1
193,1
194,-1
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,1
203,1
204,1
205,1
206,-1
207,-1
208,-1
209,1
210,-1
211,0
212,-1
213,-1
214,-1
215,-1
216,-1
217,0
218,0
219,-1
220,-1
221,0
222,-1
223,0
224,0
225,-1
226,0
227,1
228,0
229,0
230,-1
231,-1
232,-1
233,1
234,1
235,-1
236,0
237,0
238,0
239,-1
240,1
241,1
242,1
243,-1
244,-1
245,-1
246,-1
247,-1
248,0
249,-1
250,-1
251,0
252,1
253,1
254,0
255,-1
256,-1
257,0
258,0
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,-1
269,1
270,-1
271,0
272,1
273,1
274,0
275,0
276,-1
277,-1
278,-1
279,-1
280,-1
281,-1
282,1
283,1
284,0
285,0
286,0
287,-1
288,-1
289,0
290,1
291,-1
292,0
293,0
294,1
295,-1
296,0
297,-1
298,-1
299,0
300,0
301,1
302,-1
303,-1
304,-1
305,0
306,0
307,0
308,-1
309,-1
310,-1
311,1
312,0
313,0
314,0
315,1
316,-1
317,-1
318,1
319,-1
320,0
321,0
322,1
323,-1
324,-1
325,-1
326,-1
327,1
328,0
329,0
330,-1
331,0
332,0
333,0
334,-1
335,-1
336,0
337,-1
338,-1
339,-1
340,1
341,1
342,0
343,0
344,1
345,-1
346,-1
347,1
348,1
349,1
350,-1
351,-1
352,-1
353,0
354,0
355,-1
356,0
357,0
358,-1
359,-1
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,-1
373,-1
374,0
375,-1
376,0
377,0
378,0
379,-1
380,-1
381,-1
382,-1
383,-1
384,0
385,0
386,0
387,1
388,1
389,-1
390,-1
391,0
392,0
393,-1
394,-1
395,0
396,0
397,1
398,-1
399,0
400,0
401,1
402,1
403,1
404,-1
405,1
406,1
407,0
408,0
409,0
410,1
411,1
412,1
413,-1
414,1
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,-1
427,-1
428,0
429,0
430,1
431,-1
432,0
433,0
434,1
435,-1
436,0
437,1
438,-1
439,-1
440,1
441,-1
442,0
443,0
444,-1
445,-1
446,0
447,-1
448,0
449,0
450,0
451,-1
452,-1
453,0
454,0
455,-1
456,0
457,0
458,-1
459,0
460,0
461,-1
462,0
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,-1
473,-1
474,0
475,0
476,1
477,1
478,-1
479,1
480,1
481,1
482,-1
483,1
484,-1
485,0
486,-1
487,1
488,1
489,0
490,0
491,-1
492,0
493,0
494,1
495,0
496,-1
497,-1
498,-1
499,-1
500,-1
501,-1
502,1
503,1
504,1
505,1
506,1
507,-1
508,1
509,1
510,1
511,-1
512,1
513,1
514,-1
515,-1
516,1
517,-1
518,-1
519,-1
520,0
521,1
522,-1
523,0
524,0
525,-1
526,0
527,-1
528,-1
529,0
530,1
531,1
532,-1
533,-1
534,-1
535,0
536,0
537,1
538,0
539,0
540,0
541,-1
542,-1
543,0
544,0
545,-1
546,0
547,0
548,0
549,0
550,1
551,-1
552,1
553,0
554,0
555,-1
556,-1
557,-1
558,-1
559,0
560,1
561,1
562,0
563,0
564,-1
565,-1
566,-1
567,-1
568,1
569,1
570,0
571,0
572,0
573,-1
574,0
575,-1
576,-1
577,-1
578,-1
579,0
580,0
581,-1
582,-1
583,0
584,0
585,-1
586,0
587,0
588,1
589,1
590,-1
591,1
592,0
593,0
594,0
595,-1
596,-1
597,0
598,0
599,-1
600,0
601,1
602,1
603,1
604,-1
605,1
606,-1
607,0
608,0
609,0
610,1
611,1
612,1
613,1
614,-1
615,-1
616,0
617,1
618,1
619,0
620,0
621,-1
622,-1
623,-1
624,1
625,-1
626,0
627,-1
628,0
629,0
630,0
631,0
632,-1
633,-1
634,0
635,0
636,-1
637,0
638,0
639,0
640,-1
641,0
642,0
643,1
644,-1
645,0
646,1
647,-1
648,0
649,-1
650,0
651,0
652,0
653,1
654,1
655,1
656,-1
657,-1
658,0
659,0
660,-1
661,-1
662,1
663,-1
664,0
665,0
666,1
667,1
668,1
669,1
